best_place_to_work,company_anual_budget,company_month_budget,company_value,company_value_no_abbreviate,contact_email,continent,country,employee_count,employee_satisfaction,glassdoor_clasification,hiring,id,industry,min_work_hour,name,open_projects,phone_number,province,remote_friendly,rest_days,salary_anual_budget,salary_anual_budget_percentage,size_category,total_work_hours,url_best_place_to_work,work_days
false,969418.8233333332,88128.98393939393,5.70M,5702463.666666666,stridegrid@falsegmail.com,Asia,Monaco,57,-10%,2.92,true,15,Energy,12,Stride Grid,161.0,+52 434-794-5140,not data yet,false,3,2052886.9199999997,36%,small,108,,9
true,15248067.72,1694229.7466666668,40.13M,40126494.0,greenfreshstart@falsegmail.com,América,Colombia,219,44%,2.53,true,16,Transportation,11,Green Fresh Start,412.0,+235 979-294-5413,Boyacá,true,14,15248067.72,38%,medium,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
false,2020247.7225,155403.67096153845,4.39M,4391842.875,vibedevelopment@falsegmail.com,Europa,Portugal,57,38%,2.26,true,17,Hospitality,10,Vibe Development,107.0,+7 431-374-3392,Podkarpackie,true,13,570939.57375,13%,small,90,,9
true,152486137237.72858,11729702864.44066,331.49B,331491602690.7143,sparksignal@falsegmail.com,África,Réunion,34063,23%,2.17,false,18,Nonprofit,10,Spark Signal,78648.0,+1 784 245-686-9734,Azua,true,3,39778992322.88571,12%,global,40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,4
false,204990689.9333333,14642192.138095235,621.18M,621183908.8888888,glidematrix@falsegmail.com,Australia y Oceanía,Papua New Guinea,1166,-17%,1.91,false,19,Retail,6,Glide Matrix,1594.0,+351 763-184-3521,Coclé,true,5,186355172.66666663,30%,large,84,,14
true,21301027.272,1521501.948,68.71M,68712991.2,vortexopenfield@falsegmail.com,América,Mexico,252,11%,2.68,true,20,Healthcare,4,Vortex Open Field,1216.0,+262 731-641-1751,Grevenmacher,true,3,28172326.392000005,41%,medium,40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,10
false,6215574.056,443969.57542857144,16.80M,16798848.8,zenithironclad@falsegmail.com,América,Mexico,127,-10%,2.59,false,21,Automotive,4,Zenith Iron Clad,440.0,+262 677-680-3895,Grevenmacher,false,3,6887528.008,41%,medium,48,,12
true,64572183785.77777,5870198525.979797,403.58B,403576148661.1111,safecore@falsegmail.com,América,Paraguay,115414,48%,5.19,true,22,Energy,10,Safe Core,421124.0,+1 751-529-7988,Papua New Guinea,true,10,80715229732.22221,20%,global,80,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
false,1109417.4719999998,92451.45599999999,4.62M,4622572.8,ruralquietstorm@falsegmail.com,Europa,Svalbard and Jan Mayen,64,-2%,1.12,true,23,Legal Services,10,Rural Quiet Storm,123.0,+66 492-967-8060,Basel-Landschaft,false,4,1895254.8479999998,41%,medium,70,,7
true,209993.18,19090.28909090909,1.24M,1235254.0,fastventures@falsegmail.com,África,Réunion,10,18%,4.57,true,24,Entertainment,7,Fast Ventures,43.0,+1 784 344-677-5647,Dajabón,true,2,172935.56,14%,small,35,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,5
true,12418543.8,1241854.3800000001,41.40M,41395146.0,stridebrighthorizon@falsegmail.com,Asia,Monaco,201,29%,2.95,false,25,Education,10,Stride Bright Horizon,697.0,+52 975-135-1779,not data yet,true,7,7037174.82,17%,medium,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,3
true,987181.3725,89743.76113636364,2.90M,2903474.625,ultratensor@falsegmail.com,Asia,Monaco,51,-14%,2.2,true,26,Finance,8,Ultra Tensor,228.0,+52 938-120-6924,not data yet,false,2,958146.62625,33%,small,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,11
true,3181171777.2,244705521.3230769,18.71B,18712775160.0,momentumbrighthorizon@falsegmail.com,América,Paraguay,14280,42%,5.18,true,27,Food & Beverage,9,Momentum Bright Horizon,57741.0,+1 762-166-4516,Papua New Guinea,true,3,5800960299.6,31%,extra,45,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,5
false,1149501.2,104500.10909090909,5.75M,5747506.0,origindeepfocus@falsegmail.com,África,Réunion,37,-15%,3.24,false,28,Construction,7,Origin Deep Focus,91.0,+1 784 825-523-7132,La Vega,false,5,2356477.46,41%,small,91,,13
true,316584.8,24352.67692307692,1.13M,1130660.0,yieldlogic@falsegmail.com,América,Venezuela,16,-2%,2.96,true,29,Energy,5,Yield Logic,62.0,+84 327-423-7714,Dong Bang Song Cuu Long,true,2,282665.0,25%,small,45,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,9
false,257841907421.41995,19833992878.570766,1.23T,1227818606768.6665,fluxcloud@falsegmail.com,América,Chile,155262,42%,1.45,false,30,Automotive,3,Flux Cloud,312754.0,+1 380-901-8054,Antofagasta,false,3,491127442707.46655,40%,global,21,,7
false,32368465542.47143,3596496171.3857145,78.95B,78947476932.85715,greenkeystone@falsegmail.com,América,Argentina,47895,-26%,1.02,true,31,Telecommunications,5,Green Keystone,154821.0,+54 594-576-1766,Entre Ríos,false,5,30000041234.485718,38%,global,70,,14
false,31386772.62,2241912.33,64.05M,64054638.0,ruralflow@falsegmail.com,África,Réunion,243,19%,4.6,false,32,Education,4,Rural Flow,551.0,+1 784 99-394-9982,Barahona,false,3,18575845.02,29%,medium,44,,11
true,144106938.02,11085149.078461539,335.13M,335132414.0,kineticwhisperwind@falsegmail.com,Europa,Svalbard and Jan Mayen,411,26%,5.22,true,33,Legal Services,8,Kinetic Whisper Wind,820.0,+66 908-259-6412,Genève,false,1,107242372.48,32%,large,32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,4
true,13130776.8,1094231.4000000001,32.83M,32826942.0,traversebread@falsegmail.com,África,Réunion,126,19%,5.44,false,34,Nonprofit,3,Traverse Bread,169.0,+1 784 957-322-5785,San José de Ocoa,false,2,8206735.5,25%,medium,36,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,12
false,337859816.7,33785981.67,965.31M,965313762.0,glowsolarpower@falsegmail.com,Asia,Macao,1010,10%,4.87,true,35,Agriculture,6,Glow Solar Power,4905.0,+373 55-469-5371,Bogomila,false,5,328206679.08,34%,large,66,,11
false,15862542.08,1586254.208,39.66M,39656355.2,primesystems@falsegmail.com,América,Canada,88,-19%,2.24,false,36,Retail,13,Prime Systems,267.0,+855 498-245-8690,Ontario,true,10,15465978.528000003,39%,medium,117,,9
true,31192.04,3119.204,70.89K,70891.0,originvision@falsegmail.com,Europa,Luxembourg,1,21%,4.29,false,37,Retail,6,Origin Vision,3.0,+230 736-195-6392,Litva,true,4,9924.74,14%,micro,66,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,11
false,105299.95125,8099.99625,457.83K,457825.875,yieldzerogravity@falsegmail.com,América,Venezuela,13,34%,5.32,true,38,Construction,13,Yield Zero Gravity,22.0,+84 14-587-9799,Dong Nam Bo,true,9,169395.57375,37%,micro,39,,3
false,99904647.36,11100516.373333333,434.37M,434368032.0,freshnet@falsegmail.com,América,Argentina,560,-17%,3.03,false,39,Retail,13,Fresh Net,1866.0,+54 281-898-2414,Tucumán,true,4,143341450.56,33%,large,91,,7
false,3990028.57,443336.50777777773,9.73M,9731777.0,softurbanjungle@falsegmail.com,Europa,Svalbard and Jan Mayen,55,6%,5.31,false,40,Aerospace,9,Soft Urban Jungle,126.0,+66 764-550-1855,Obwalden,false,2,3990028.57,41%,medium,81,,9
true,1144927006080.39,127214111786.70999,2.66T,2662620944373.0,clearskates@falsegmail.com,América,Colombia,327015,37%,5.22,false,41,Food & Beverage,8,Clear Skates,401324.0,+235 512-351-2744,Putumayo,false,4,1198179424967.85,45%,global,40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,5
false,18427213.09,1316229.5064285714,47.25M,47249264.333333336,thrivelink@falsegmail.com,América,Colombia,239,10%,2.05,true,42,Hospitality,6,Thrive Link,922.0,+235 704-295-2320,Caquetá,false,1,10867330.796666667,23%,medium,42,,7
false,75571287.195,6870117.017727272,222.27M,222268491.75,purerapidfire@falsegmail.com,América,Colombia,411,7%,1.08,true,43,Food & Beverage,6,Pure Rapid Fire,2003.0,+235 937-977-6322,Atlántico,false,4,40008328.515,18%,large,48,,8
false,9068908586.595556,906890858.6595557,56.68B,56680678666.22222,lucidlink@falsegmail.com,Asia,Afghanistan,30578,36%,5.15,false,44,Aerospace,11,Lucid Link,105021.0,+93 257-245-1783,Afghanistan,true,3,22105464679.826664,39%,global,88,,8
false,2676387.6,205875.96923076923,5.95M,5947528.0,primecommunications@falsegmail.com,América,United States of America,64,-2%,1.9,true,45,Food & Beverage,11,Prime Communications,119.0,+20 616-250-5587,Federated States of Micronesia,false,6,1308456.16,22%,small,99,,9
true,242156353.6,24215635.36,605.39M,605390884.0,jadeproductions@falsegmail.com,América,Colombia,686,15%,4.33,false,46,Transportation,10,Jade Productions,1906.0,+235 53-920-2312,Vichada,false,4,115024267.96,19%,large,80,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
false,2333148.891428571,233314.8891428571,6.48M,6480969.142857143,eastdevelopment@falsegmail.com,América,Mexico,64,17%,2.68,false,47,Energy,11,East Development,121.0,+262 224-207-9582,Grevenmacher,true,9,2009100.4342857143,31%,small,99,,9
true,388199530046.65,29861502311.28077,946.83B,946828122065.0,orbittensor@falsegmail.com,Australia y Oceanía,Vanuatu,229511,-12%,2.57,true,48,Logistics,5,Orbit Tensor,501994.0,+58 371-979-8815,Aragua,true,1,246175311736.9,26%,global,45,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,9
false,660252097.44,47160864.10285715,1.83B,1834033604.0,jadeurbanedge@falsegmail.com,Australia y Oceanía,Vanuatu,3970,3%,2.66,true,49,Hospitality,5,Jade Urban Edge,8631.0,+58 61-644-1323,Aragua,false,4,568550417.24,31%,extra,50,,10
true,779212474353.744,77921247435.3744,1.62T,1623359321570.3,truestream@falsegmail.com,Europa,Germany,206099,-15%,2.34,false,50,Logistics,13,True Stream,978240.0,+355 1-921-9422,Rheinland-Pfalz,true,4,227270305019.84198,14%,global,78,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,6
false,163701.67200000002,14881.970181818184,355.87K,355873.2,brightindustries@falsegmail.com,América,Chile,6,59%,4.06,true,51,Legal Services,10,Bright Industries,27.0,+1 514-606-6645,Maule,false,13,113879.424,32%,micro,70,,7
false,21334536.96,2370504.106666667,44.45M,44446952.0,waveaxis@falsegmail.com,América,Argentina,164,10%,4.55,false,52,Retail,5,Wave Axis,453.0,+54 821-331-8880,Jujuy,false,4,17778780.8,40%,medium,50,,10
true,5525.57,613.9522222222222,13.48K,13477.0,ruralfreshtomato@falsegmail.com,América,United States of America,1,35%,3.56,true,53,Logistics,11,Rural Fresh Tomato,3.0,+20 3-196-1970,California,false,11,3099.71,23%,micro,66,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,6
true,44052508.522,4004773.502,142.10M,142104866.2,southnetwork@falsegmail.com,América,United States of America,319,58%,5.41,true,54,Finance,11,South Network,738.0,+20 502-620-7000,Maryland,true,8,21315729.929999996,15%,large,33,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,3
true,547044.84,49731.34909090909,1.52M,1519569.0,nextlunarlight@falsegmail.com,Europa,Germany,45,67%,5.02,true,55,Food & Beverage,12,Next Lunar Light,200.0,+355 489-245-3805,Berlin,false,12,227935.35,15%,small,96,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
true,1659609.076666667,138300.7563888889,4.88M,4881203.166666667,momentumgreenleaf@falsegmail.com,América,Mexico,31,13%,2.37,false,56,Manufacturing,11,Momentum Green Leaf,96.0,+262 395-621-9875,Diekirch,false,6,829804.5383333334,17%,small,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
false,4127825.177142857,375256.83428571426,12.14M,12140662.285714285,bluesystems@falsegmail.com,Asia,Macao,164,-32%,3.13,true,57,Construction,8,Blue Systems,656.0,+373 520-592-3647,Lipkovo,true,1,4249231.8,35%,medium,112,,14
true,155659720.59,11118551.470714286,471.70M,471696123.0,uniquezerogravity@falsegmail.com,África,Réunion,948,28%,3.89,false,58,Finance,12,Unique Zero Gravity,2162.0,+1 784 270-989-6011,San Pedro de Macorís,false,9,183961487.97,39%,large,96,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
false,3207027795.45,356336421.71666664,9.43B,9432434692.5,lucidwavelength@falsegmail.com,Australia y Oceanía,French Polynesia,14505,-13%,1.23,false,59,Agriculture,7,Lucid Wavelength,42230.0,+00 118-612-6388,Apurímac,false,2,2263784326.2,24%,extra,42,,6
false,303124.78,30312.478000000003,618.62K,618622.0,upliftsolarflare@falsegmail.com,Australia y Oceanía,Vanuatu,14,-17%,3.58,true,60,Hospitality,9,Uplift Solar Flare,16.0,+58 943-521-5547,Zulia,false,4,179400.38,29%,micro,126,,14
true,185165274797.28,13226091056.948572,617.22B,617217582657.6,netlab@falsegmail.com,África,Uganda,329304,6%,4.15,true,61,Technology,7,Net Lab,1211458.0,+998 623-665-4936,Montevideo,false,1,240714857236.464,39%,global,56,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
true,65793761.22857142,6579376.122857142,143.03M,143029915.7142857,luciddesign@falsegmail.com,África,Uganda,270,29%,5.08,false,62,Nonprofit,11,Lucid Design,692.0,+998 531-892-9677,Durazno,true,5,32896880.61428571,23%,large,77,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,7
false,46278172.395,5142019.155,220.37M,220372249.5,smartassociates@falsegmail.com,África,Uganda,351,15%,2.64,true,63,Food & Beverage,7,Smart Associates,377.0,+998 571-643-4547,Río Negro,false,5,94760067.285,43%,large,42,,6
true,983093377060.34,98309337706.034,2.89T,2891451109001.0,futurefrites@falsegmail.com,África,Western Sahara,213843,20%,2.22,true,64,Food & Beverage,3,Future Frites,302847.0,+966 361-158-2910,Chuvashiya,false,4,578290221800.2,20%,global,42,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,14
false,2074782652.05,148198760.8607143,6.92B,6915942173.5,keennode@falsegmail.com,América,Brazil,7885,-7%,3.54,true,65,Real Estate,4,Keen Node,10335.0,+267 620-313-5552,Paraiba,true,3,899072482.555,13%,extra,56,,14
false,1073167074.32,76654791.02285714,2.44B,2439016078.0,boldpulse@falsegmail.com,África,Uganda,2023,8%,3.84,false,66,Agriculture,8,Bold Pulse,9629.0,+998 297-360-5991,Montevideo,true,3,487803215.6,20%,extra,72,,9
true,1723756608.064,156705146.18763635,5.39B,5386739400.2,radiantfreshtomato@falsegmail.com,Australia y Oceanía,Papua New Guinea,5546,21%,4.59,true,67,Hospitality,11,Radiant Fresh Tomato,8062.0,+351 95-618-2293,Panamá,false,5,969613092.0359999,18%,extra,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
true,692523.3375,49465.95267857143,2.56M,2564901.25,metatrack@falsegmail.com,América,Suriname,62,64%,3.5,false,68,Hospitality,11,Meta Track,200.0,+255 633-812-5857,Hallands Lan,false,12,410384.2,16%,small,33,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,3
true,165818326.6666667,15074393.333333336,414.55M,414545816.6666667,futuredeepfocus@falsegmail.com,Europa,Svalbard and Jan Mayen,870,34%,3.5,true,69,Telecommunications,10,Future Deep Focus,1809.0,+66 668-149-6615,Obwalden,true,10,128509203.16666669,31%,large,70,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,7
false,1158905.2319999998,89146.5563076923,3.22M,3219181.1999999997,cloudglide@falsegmail.com,Asia,Afghanistan,46,18%,3.92,true,70,Energy,12,Cloud Glide,229.0,+93 725-467-1566,Afghanistan,true,11,997946.1719999999,31%,small,108,,9
false,693857193705.4912,57821432808.79093,2.39T,2392611012777.5557,truenet@falsegmail.com,América,Canada,289549,1%,3.86,false,71,Retail,8,True Net,586966.0,+855 622-359-8285,Prince Edward Island,false,1,957044405111.0222,40%,global,56,,7
false,157188.08000000002,12091.390769230771,748.51K,748514.6666666667,ispotato@falsegmail.com,América,Venezuela,14,46%,5.21,true,72,Agriculture,5,Is Potato,24.0,+84 499-820-4575,Duyen Hai Mien Trung,true,3,336831.6,45%,micro,35,,7
true,920640.4380000001,102293.38200000001,2.49M,2488217.4000000004,freshhaven@falsegmail.com,América,Paraguay,27,20%,1.3,true,73,Legal Services,11,Fresh Haven,44.0,+1 57-345-4745,Papua New Guinea,false,13,522525.65400000004,21%,small,99,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,9
false,5809099876.894284,484091656.407857,13.51B,13509534597.42857,orbitwisechoice@falsegmail.com,Europa,Svalbard and Jan Mayen,12078,11%,2.01,false,74,Telecommunications,10,Orbit Wise Choice,16630.0,+66 256-154-4670,Appenzell Ausserrhoden,false,4,3782669687.2799993,28%,extra,50,,5
false,1583095.89375,113078.278125,3.52M,3517990.875,apexbread@falsegmail.com,América,Canada,69,-7%,5.14,false,75,Nonprofit,6,Apex Bread,160.0,+855 607-371-4081,British Columbia,false,1,1336836.5325,38%,small,84,,14
true,4103228297.4375,315632945.9567308,8.21B,8206456594.875,freshelement@falsegmail.com,Europa,Latvia,6611,-35%,1.99,true,76,Entertainment,6,Fresh Element,9417.0,+223 622-207-6582,Latviya,false,2,3036388940.10375,37%,extra,84,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,14
true,947025.9700000002,72848.15153846155,2.87M,2869775.666666667,sparkpulse@falsegmail.com,África,Western Sahara,34,29%,4.49,true,77,Finance,11,Spark Pulse,159.0,+966 926-528-3971,Vologodskaya obl.,true,8,1234003.5366666669,43%,small,44,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,4
true,116243.68,10567.607272727271,415.16K,415156.0,brightrelay@falsegmail.com,Europa,Luxembourg,9,24%,2.94,false,78,Food & Beverage,5,Bright Relay,14.0,+230 617-436-9195,Litva,false,4,116243.68,28%,micro,40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
false,129003.525,9923.348076923077,358.34K,358343.125,pinnaclesweetspot@falsegmail.com,Australia y Oceanía,Vanuatu,7,15%,4.44,true,79,Energy,6,Pinnacle Sweet Spot,27.0,+58 851-706-1509,Apure,false,3,46584.60625,13%,micro,54,,9
false,220525892.57333332,16963530.197948717,537.87M,537868030.6666666,corenode@falsegmail.com,Europa,Luxembourg,716,20%,1.85,false,80,Healthcare,8,Core Node,2933.0,+230 848-873-1583,Litva,false,4,172117769.81333333,32%,large,40,,5
false,1135215577756.0688,81086826982.57634,2.77T,2768818482331.875,edgematrix@falsegmail.com,Europa,Portugal,306081,8%,1.62,true,81,Manufacturing,13,Edge Matrix,484983.0,+7 142-144-3074,Chelm,true,14,387634587526.4625,14%,global,78,,6
true,833313508.9777778,92590389.88641976,2.60B,2604104715.555556,kineticradius@falsegmail.com,América,Brazil,2468,58%,3.57,false,82,Aerospace,3,Kinetic Radius,10371.0,+267 217-292-3549,Rio Grande do Sul,false,5,781231414.6666667,30%,extra,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
true,10742799.375,1074279.9375,30.69M,30693712.5,orbitpulse@falsegmail.com,Asia,Macao,85,25%,3.72,true,83,Logistics,6,Orbit Pulse,371.0,+373 512-398-6211,Gradsko,false,3,4910994.0,16%,medium,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,5
true,33030591.36,2540814.7199999997,103.22M,103220598.0,greenimpulse@falsegmail.com,África,Réunion,445,47%,2.84,false,84,Legal Services,10,Green Impulse,1297.0,+1 784 474-620-5998,Baoruco,true,10,30966179.4,30%,large,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,3
